Plot,PreBurn,1yrPost,2yrPost,2yrPost,3yrPost,4yrPost
AB0001,3.925,1.72,,,,
AB0002,2.8150000000000004,1.485,,,,
AB0003,2.915,0.9100000000000001,,,,
AB0004,3.6899999999999995,1.7400000000000002,,,,
AB0005,4.1049999999999995,3.0149999999999997,,,,
AB0006,3.5849999999999995,2.1199999999999997,,,,
AB0007,2.5149999999999997,1.21,,,,
B:FFUEL1G08:10,3.0699999999999994,1.3224999999999996,1.1324999999999998,,0.9249999999999998,
B:FFUEL1G08:20,2.63,1.9749999999999996,1.2249999999999996,,1.1275000000000002,
B:FFUEL1G08:MB01,4.17,1.3199999999999998,,,,
B:FFUEL1G08:MB02,4.58,,,,,
B:FPIBO1G08:01,3.8199999999999994,1.14,0.7675,,,
B:FPIBO1G08:02,2.7125,0.38749999999999996,,,,
B:FPIBO1G08:03,3.5999999999999996,1.0274999999999999,0.7524999999999998,,,
B:FPIBO1G08:04,2.7175,0.5899999999999999,0.5800000000000001,,,
B:FPIBO1G08:08,2.9400000000000004,1.7475,,,,
B:FPIBO1G08:09,2.7025,1.445000000000001,,,,
B:FPIBO1G08:10,3.2725,1.9225000000000003,,,,
B:FPIBO1G08:11,5.5075,1.3275,0.7799999999999999,,,
B:FPIBO1G08:12,4.509999999999999,1.4249999999999998,1.4950000000000006,,,
B:FPIBO1G08:13,5.3900000000000015,1.1375000000000002,0.8124999999999997,,,
B:FPIBO1G08:14,4.657499999999999,1.4225,1.1700000000000002,,,
B:FPIEC1G09:01,2.8025,0.8175000000000001,0.8750000000000001,1.07,0.7549999999999998,
B:FPIRI1G08:01,6.035,3.2575,,,,
B:FPIRI1G08:02,3.4349999999999996,1.6024999999999996,,,,
B:FPIRI1G08:03,3.93,2.57,,,,
B:FPIRI1G08:04,3.9250000000000007,2.805,0.955,,,
B:FPIRI1G08:05,3.7350000000000003,2.61,2.3775,,,
B:FPIRI1G08:06,4.4925,3.215,1.65,,,
B:FPIRI1G08:07,4.1175,2.7225,,,,
B:FPIRI1G08:08,3.5075,2.9499999999999993,,,,
B:FPIRI1G08:09,4.08,,2.3875,,2.0875,
B:FPIRI1G08:10,5.4125,2.4325,1.7899999999999996,,,
B:FPIRI1G08:11,4.154999999999999,3.5775000000000006,2.5699999999999994,,2.6849999999999996,
B:FPIRI1G08:12,6.982500000000002,6.94,4.830000000000001,,5.595,
B:FPIRI1G08:13,6.545,6.245,3.4449999999999994,,2.5875,
B:FPIRI1G08:14,8.265,6.290000000000001,4.55,,3.5849999999999995,
B:FPIRI1G08:15,4.0425,,,,,
B:FPIRI1G08:16,4.395000000000001,2.455,2.0475,,,
B:FPIRI1G08:17,4.419999999999999,1.9250000000000003,1.6675,,,
B:FPIRI1G08:18,4.072499999999999,1.9025,,,,
B:FQUAL1G09:01,3.8224999999999993,1.1124999999999996,0.8324999999999999,,0.8324999999999998,
B:FQUAL1G09:02,2.87,0.8549999999999998,,,0.3800000000000001,
B:FQUAL1G09:03,3.7724999999999995,1.615,0.81,,0.7599999999999998,
B:FQUAL1G09:04,3.9750000000000005,1.0124999999999997,1.085,2.1275000000000004,0.955,
B:FQUAL1G09:06,2.1500000000000004,,,,,
B:FQUAL1G09:07,3.605,0.7450000000000002,,,,
B:FQUAL1G09:08,4.519999999999999,2.0700000000000007,,,,
B:FQUAL1G09:09,2.9675,0.76,,,,
B:FQUAL1G09:10,2.995,,,,,
B:FQUAL1G09:11,3.9799999999999995,1.055,,,,
B:FQUAL1G09:12,3.865000000000001,1.1924999999999997,,,,
B:FQUAL1G09:13,3.6100000000000008,0.6871794871794871,,,,
B:FQUCO1D08:01,2.3625,0.8,0.5025000000000001,,0.42999999999999994,
B:FQUCO1D08:02,2.7300000000000004,0.8125000000000001,0.8350000000000001,,0.48250000000000004,
B:FQUCO1D08:03,2.125,1.1099999999999999,0.7750000000000001,,1.0425,
B:FQUCO1D08:04,3.1275000000000004,1.1025,0.9350000000000002,,,
B:FQUCO1D08:05,3.54,,1.6174999999999997,,0.6024999999999999,
B:FQUCO1D08:06,2.9750000000000005,1.4249999999999998,0.9799999999999999,,0.7200000000000001,
B:FQUCO1D08:07,2.6525,1.1349999999999998,0.6949999999999996,,0.6924999999999999,
B:FQUCO1D08:08,1.91,0.98,1.0299999999999998,,,
B:FQUCO1D08:09,2.5450000000000004,0.6024999999999999,0.7649999999999999,,,
B:FQUCO1D08:10,2.932499999999999,1.67,1.0224999999999997,,0.7699999999999998,
B:FQUCO1D08:11,2.6449999999999996,1.515,0.7875,,0.7525,
B:FQUCO1D08:12,2.4025,1.4850000000000003,1.1575,,0.6124999999999997,
B:FQUCO1D08:13,2.5625,1.8625,0.6775000000000001,,0.7274999999999997,
B:FQUCO1D08:14,2.4125,1.5775,,,,
B:FQUCO1D08:15,2.2175000000000002,1.045,0.8825,,,
B:FQUCO1D08:16,4.297500000000001,1.6750000000000003,1.1124999999999998,,,
B:FQUCO1G08:01,3.3474999999999997,2.3125,1.6350000000000002,,1.51,
B:FQUCO1G08:03,3.9725,1.9574999999999998,,,,
B:FQUCO1G08:04,3.1224999999999996,1.3799999999999997,,,,
B:FQUCO1G08:05,4.7075,2.2174999999999994,,,,
B:FQUCO1G08:06,4.4825,,,,,
B:FQUCO1G08:07,3.7299999999999995,,,,,
