Plot,PreBurn,1yrPost,2yrPost,3yrPost,4yrPost
AB0001,10.273625999999998,7.777910249999998,,,
AB0002,6.299865,7.00254225,,,
AB0003,6.929851500000001,4.288754249999999,,,
AB0004,9.6921,8.044442999999998,,,
AB0005,13.738551749999996,12.18781575,,,
AB0006,10.15247475,9.03788325,,,
AB0007,6.033332249999999,4.7006685,,,
B:FFUEL1G08:10,7.960590000000001,6.087509999999999,6.680652,4.99488,
B:FFUEL1G08:20,6.165554999999999,5.478758999999999,7.492320000000001,6.025074000000002,
B:FFUEL1G08:MB01,7.367448,5.806547999999999,,,
B:FFUEL1G08:MB02,15.484128000000002,,,,
B:FPIBO1G08:01,14.36028,5.1353610000000005,3.27789,,
B:FPIBO1G08:02,11.784794999999999,1.685772,,,
B:FPIBO1G08:03,15.515346,4.7763539999999995,3.792986999999999,,
B:FPIBO1G08:04,11.737967999999999,2.216478000000001,2.762793,,
B:FPIBO1G08:08,11.051171999999996,10.145849999999998,,,
B:FPIBO1G08:09,8.975174999999997,8.163507,,,
B:FPIBO1G08:10,12.284282999999997,10.582902,,,
B:FPIBO1G08:11,22.555005,4.979271,4.760744999999999,,
B:FPIBO1G08:12,18.63714600000001,6.899177999999999,8.990784,,
B:FPIBO1G08:13,23.710071000000003,4.511001,4.8700079999999994,,
B:FPIBO1G08:14,21.212631000000002,6.1343369999999995,7.2581849999999974,,
B:FPIEC1G09:01,4.700668499999999,3.9616458750000008,3.7799189999999996,3.6224223749999984,
B:FPIRI1G08:01,22.539396,20.010737999999996,,,
B:FPIRI1G08:02,10.036586999999999,9.615143999999997,,,
B:FPIRI1G08:03,17.1699,15.749480999999998,,,
B:FPIRI1G08:04,15.921179999999998,14.500761000000002,4.932443999999999,,
B:FPIRI1G08:05,15.452909999999997,13.376913000000002,14.188580999999996,,
B:FPIRI1G08:06,20.75997,17.778650999999996,10.255113,,
B:FPIRI1G08:07,15.437300999999996,13.689093000000003,,,
B:FPIRI1G08:08,12.830598,15.874353,,,
B:FPIRI1G08:09,16.108487999999994,,14.266625999999999,10.114631999999997,
B:FPIRI1G08:10,18.496665000000007,14.141754,10.848254999999998,,
B:FPIRI1G08:11,19.339551000000004,17.247944999999998,14.812941,12.237455999999998,
B:FPIRI1G08:12,32.513547,31.592615999999992,28.970304,30.187806000000005,
B:FPIRI1G08:13,32.98181699999999,32.74768199999999,21.197021999999997,16.046052,
B:FPIRI1G08:14,40.73949,32.74768199999999,27.315749999999998,19.214678999999997,
B:FPIRI1G08:15,15.562172999999998,,,,
B:FPIRI1G08:16,18.012786,15.171948,11.956494,,
B:FPIRI1G08:17,15.265602000000001,11.909666999999999,10.239503999999998,,
B:FPIRI1G08:18,12.768161999999998,10.817036999999997,,,
B:FQUAL1G09:01,6.832930499999999,5.391230624999998,3.9253004999999996,3.997991249999999,
B:FQUAL1G09:02,3.937415625,3.5376165,,1.841499,
B:FQUAL1G09:03,7.353880875,7.256959874999998,3.9253004999999996,3.6829980000000004,
B:FQUAL1G09:04,6.372555749999999,3.2226232500000007,4.942970999999999,4.518941625,
B:FQUAL1G09:06,4.979316374999999,,,,
B:FQUAL1G09:07,6.384670874999999,3.610307249999999,,,
B:FQUAL1G09:08,11.303411624999999,8.747120249999998,,,
B:FQUAL1G09:09,5.791029749999999,3.6708828749999993,,,
B:FQUAL1G09:10,8.638084125,,,,
B:FQUAL1G09:11,8.504817749999997,4.955086124999999,,,
B:FQUAL1G09:12,7.58406825,5.7789146250000005,,,
B:FQUAL1G09:13,6.27563475,3.2928288461538457,,,
B:FQUCO1D08:01,4.640092875,3.1862778750000005,2.035341,1.76880825,
B:FQUCO1D08:02,6.626973374999997,3.792034125,3.767803875,1.9141897499999996,
B:FQUCO1D08:03,5.197388625,4.131257624999998,2.73801825,4.494711375,
B:FQUCO1D08:04,4.48259625,2.7985938749999995,4.107027374999999,,
B:FQUCO1D08:05,6.808700249999999,,5.681993624999999,2.8107089999999992,
B:FQUCO1D08:06,4.518941624999998,5.052007125,4.555287,3.0166661249999995,
B:FQUCO1D08:07,4.397790374999999,4.0585668749999995,3.113587124999998,3.17416275,
B:FQUCO1D08:08,3.2226232500000003,4.349329874999999,3.1983930000000003,,
B:FQUCO1D08:09,4.67643825,2.532061125,2.7380182500000005,,
B:FQUCO1D08:10,7.0146573750000005,7.087348124999998,4.846049999999996,3.670882875,
