Plot,PreBurn,1st Burn,2nd Burn,3rd Burn,4th Burn
AB0001,2.4898170000000004,0.158631,,,
AB0002,2.0897909999999995,0.055176,,,
AB0003,2.0484089999999995,0.034485,,,
AB0004,2.3311859999999998,0.11035199999999998,,,
AB0005,1.751838,0.6897,,,
AB0006,2.0553059999999994,0.351747,,,
AB0007,1.751838,0.3310560000000001,,,
B:FFUEL1G08:10,3.420821250000001,0.6622481250000002,0.11910937499999999,0.23821875,
B:FFUEL1G08:20,3.1301943750000003,2.091560625,0.04764375,0.309684375,
B:FFUEL1G08:MB01,5.6981925,0.7432424999999999,,,
B:FFUEL1G08:MB02,4.002075,,,,
B:FPIBO1G08:01,2.8967399999999994,0.6050756250000002,0.46214437499999994,,
B:FPIBO1G08:02,1.5722437500000006,0.223925625,,,
B:FPIBO1G08:03,2.12491125,0.500259375,0.2763337500000002,,
B:FPIBO1G08:04,1.5960656250000005,0.44785125000000015,0.26204062499999997,,
B:FPIBO1G08:08,2.2297275,0.233454375,,,
B:FPIBO1G08:09,2.41077375,0.26204062500000014,,,
B:FPIBO1G08:10,2.4870037500000004,0.43355812500000007,,,
B:FPIBO1G08:11,3.61139625,1.0100475000000002,0.033350625,,
B:FPIBO1G08:12,2.9062687499999997,0.6098399999999999,0.10481624999999999,,
B:FPIBO1G08:13,3.034906875,0.7908862500000002,0.061936875,,
B:FPIBO1G08:14,2.4012449999999994,0.8385300000000001,0.014293125,,
B:FPIEC1G09:01,2.5277505000000002,0.0,0.131043,0.0103455,
B:FPIRI1G08:01,4.621443749999999,0.10005187499999998,,,
B:FPIRI1G08:02,3.482758125,0.11910937499999999,,,
B:FPIRI1G08:03,2.2487850000000003,0.090523125,,,
B:FPIRI1G08:04,2.620406250000001,0.9195243750000002,0.3144487500000001,,
B:FPIRI1G08:05,2.401245000000001,0.8909381250000001,0.20010374999999997,,
B:FPIRI1G08:06,2.2249631250000004,0.7003631250000002,0.014293125,,
B:FPIRI1G08:07,3.1349587500000005,1.0100474999999998,,,
B:FPIRI1G08:08,2.768101875,0.7765931250000003,,,
B:FPIRI1G08:09,2.858625,,0.19533937499999995,0.8909381250000001,
B:FPIRI1G08:10,4.669087499999999,0.31921312500000004,0.10005187499999998,,
B:FPIRI1G08:11,2.015330625,1.5531862500000009,0.37638562500000017,1.3816687499999998,
B:FPIRI1G08:12,3.3827062499999996,3.5828099999999994,0.36209250000000026,1.4483700000000002,
B:FPIRI1G08:13,2.406009375000001,1.90575,0.0952875,0.03335062500000001,
B:FPIRI1G08:14,3.3160050000000005,1.9915087500000008,0.3335062500000001,0.9671681250000003,
B:FPIRI1G08:15,2.953912500000001,,,,
B:FPIRI1G08:16,2.8776824999999997,0.04764375,0.25251187500000005,,
B:FPIRI1G08:17,3.763856250000001,0.03335062500000001,0.05240812500000001,,
B:FPIRI1G08:18,3.8639081249999996,0.32397750000000003,,,
B:FQUAL1G09:01,3.3278024999999993,0.0,0.0310365,0.0103455,
B:FQUAL1G09:02,2.8381155000000002,0.17242500000000005,,0.0,
B:FQUAL1G09:03,3.1105469999999995,0.16207950000000007,0.0,0.0,
B:FQUAL1G09:04,3.6692040000000006,0.47934150000000014,0.08966099999999998,0.0310365,
B:FQUAL1G09:06,1.5483764999999998,,,,
B:FQUAL1G09:07,3.155377499999999,0.0,,,
B:FQUAL1G09:08,3.0174374999999998,0.365541,,,
B:FQUAL1G09:09,2.4449865,0.0034485,,,
B:FQUAL1G09:10,1.6725225000000001,,,,
B:FQUAL1G09:11,3.069164999999999,0.044830499999999995,,,
B:FQUAL1G09:12,3.1726199999999993,0.0,,,
B:FQUAL1G09:13,3.1933109999999987,0.010610769230769231,,,
B:FQUCO1D08:01,1.938057,0.19656450000000006,0.1138005,0.08966099999999999,
B:FQUCO1D08:02,1.8794325,0.041381999999999995,0.07931549999999998,0.12069749999999999,
B:FQUCO1D08:03,1.4518184999999997,0.3551955000000001,0.2896740000000001,0.15863100000000002,
B:FQUCO1D08:04,3.0381285,0.7241850000000001,0.12069749999999999,,
B:FQUCO1D08:05,2.9450189999999994,,0.6138330000000001,0.031036499999999995,
B:FQUCO1D08:06,2.8174244999999996,0.5276205,0.05517599999999999,0.13449150000000004,
B:FQUCO1D08:07,2.407053,0.4103715000000001,0.07241849999999998,0.051727499999999996,
B:FQUCO1D08:08,1.7173530000000004,0.1138005,0.510378,,
B:FQUCO1D08:09,2.1794520000000004,0.11035199999999998,0.27588,,
B:FQUCO1D08:10,2.0484090000000004,0.28622550000000013,0.0310365,0.0172425,
B:FQUCO1D08:11,2.1897975000000005,0.4310625000000002,0.0241395,0.0,
B:FQUCO1D08:12,1.7518380000000005,0.358644,0.044830499999999995,0.0,
B:FQUCO1D08:13,1.6587285,0.5655540000000002,0.04138199999999999,0.0,
B:FQUCO1D08:14,1.6138980000000003,0.041381999999999995,,,
B:FQUCO1D08:15,1.5173400000000001,0.0,0.3827835000000001,,
B:FQUCO1D08:16,3.3829784999999992,0.0,0.2517405000000001,,
B:FQUCO1G08:01,1.9725420000000002,0.7552215000000001,0.09310949999999998,0.441408,
B:FQUCO1G08:03,2.1070334999999996,0.07586699999999999,,,
B:FQUCO1G08:04,1.896675,0.0931095,,,
B:FQUCO1G08:05,3.1139954999999997,0.006897,,,
B:FQUCO1G08:06,2.1622095000000003,,,,
B:FQUCO1G08:07,2.6898300000000006,,,,
B:FQUCO1G08:08,2.9898495,0.013794,,,
B:FQUCO1G08:09,2.9484674999999987,0.103455,,,
B:FQUCO1G08:10,1.7035590000000003,0.006897,0.11724900000000002,0.12414599999999998,
B:FQUCO1G08:11,1.6863165000000002,0.0862125,0.0310365,0.0862125,
B:FQUCO1G08:12,1.6656255000000004,0.20691,0.2172555000000001,0.14138850000000003,
B:FQUCO1G08:13,2.9346734999999997,0.14828550000000001,0.0,,
B:FQUCO1G08:14,2.231179500000001,0.08276399999999998,0.13449149999999999,0.4103715,
B:FQUCO1G08:15,3.1243409999999994,0.0034485,0.037933499999999995,,
B:FQUCO1G08:16,2.7415575,0.6241785,,,
B:FQUMO1G09:01,2.5622355000000003,0.13794,0.6621119999999999,0.024139499999999998,
B:FQUMO1G09:02,2.7312119999999998,0.3000195000000002,0.5310690000000001,0.024139499999999998,
B:FQUMO1G09:03,1.8690869999999997,0.2896740000000001,1.4000910000000002,0.14138850000000006,
B:FQUMO1G09:04,2.234628,0.6103845000000001,0.1586310000000001,0.0172425,0.2862255000000001
B:FQUMO1G09:05,2.9760555,0.33795300000000006,0.07931549999999998,0.037933499999999995,0.3551955000000001
B:FQUMO1G09:06,3.4829849999999993,0.8586765000000003,0.31726200000000004,0.11380049999999997,
B:FQUMO1G09:07,3.1484805000000002,0.9069554999999999,0.9310950000000002,0.05862449999999999,
B:FQUMO1G09:08,2.727763499999999,0.7931549999999999,0.17932200000000004,0.07586699999999999,
B:FQUMO1G09:09,2.3898105000000003,0.7724639999999999,0.3000195000000002,0.0862125,
