Plot,DuffPreBurn,LitterPreBurn,CWDPreBurn,FWDPreBurn
AB0001,10.273625999999998,2.4898170000000004,6.1,1.5917481427879878
AB0002,6.299865,2.0897909999999995,3.4,0.9268820526520455
AB0003,6.929851500000001,2.0484089999999995,1.2,2.479602080845133
AB0004,9.6921,2.3311859999999998,0.0,0.9733813575173967
AB0005,13.738551749999996,1.751838,0.0,2.239580511308179
AB0006,10.15247475,2.0553059999999994,0.5,1.054525971995175
AB0007,6.033332249999999,1.751838,0.0,0.23919294950912295
B:FQUMO1D09:30,11.836477125,4.5002925,7.946519073377813,0.9544723761207052
B:FQUMO1D09:31,11.6789805,3.545058,0.0,1.2313679640503883
B:FFUEL1G08:10,7.960590000000001,3.420821250000001,19.8,1.2647321138689187
B:FFUEL1G08:20,6.165554999999999,3.1301943750000003,9.4,1.1560481576244217
B:FFUEL1G08:MB01,7.367448,5.6981925,0.0,0.09207985917671152
B:FFUEL1G08:MB02,15.484128000000002,4.002075,0.3,0.16426266807339523
B:FPIBO1G08:01,14.36028,2.8967399999999994,3.7,4.501163604201424
B:FPIBO1G08:02,11.784794999999999,1.5722437500000006,2.6,3.0088075563742165
B:FPIBO1G08:03,15.515346,2.12491125,0.9,3.6202907018581616
B:FPIBO1G08:04,11.737967999999999,1.5960656250000005,7.0,4.73620140404123
B:FPIBO1G08:08,11.051171999999996,2.2297275,6.4,2.026383109168135
B:FPIBO1G08:09,8.975174999999997,2.41077375,0.5,1.4429550767139419
B:FPIBO1G08:10,12.284282999999997,2.4870037500000004,8.7,1.655472042739399
B:FPIBO1G08:11,22.555005,3.61139625,8.3,2.1582058325631293
B:FPIBO1G08:12,18.63714600000001,2.9062687499999997,5.1,2.6502670387776366
B:FPIBO1G08:13,23.710071000000003,3.034906875,4.8,3.32715054777178
B:FPIBO1G08:14,21.212631000000002,2.4012449999999994,1.3,4.034312369313884
B:FPIEC1G09:01,4.700668499999999,2.5277505000000002,3.7,5.125779132806757
B:FPIRI1G08:01,22.539396,4.621443749999999,3.3,3.2733279369444337
B:FPIRI1G08:02,10.036586999999999,3.482758125,2.1,3.344223131849649
B:FPIRI1G08:03,17.1699,2.2487850000000003,4.8,4.443619458578161
B:FPIRI1G08:04,15.921179999999998,2.620406250000001,0.0,1.848315563928078
B:FPIRI1G08:05,15.452909999999997,2.401245000000001,6.4,5.173114616863236
